,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
366,0,554,398,CA3,8832.8,4497.6,3103.7
367,0,555,377,CA3,8769.9,4689.9,3111.7
380,0,572,393,CA3,8804.7,4536.0,3085.0
381,0,573,394,CA3,8824.1,4536.0,3110.4
384,0,576,395,CA3,8818.7,4516.8,3094.4
394,0,589,399,CA3,8827.4,4478.3,3087.7
395,0,590,397,CA3,8813.3,4497.6,3078.3
398,0,595,389,CA3,8796.0,4574.5,3091.7
405,0,605,384,CA3,8812.2,4632.2,3139.8
414,0,627,384,CA3,8812.2,4632.2,3139.8
421,0,638,389,CA3,8796.0,4574.5,3091.7
433,0,657,380,CA3,8803.5,4670.7,3146.4
436,0,661,388,CA3,8820.8,4593.7,3133.1
451,0,682,388,CA3,8820.8,4593.7,3133.1
452,0,683,395,CA3,8818.7,4516.8,3094.4
460,0,694,388,CA3,8820.8,4593.7,3133.1
462,0,696,388,CA3,8820.8,4593.7,3133.1
475,0,713,401,CA3,8822.0,4459.1,3071.6
476,0,717,388,CA3,8820.8,4593.7,3133.1
480,0,723,377,CA3,8769.9,4689.9,3111.7
494,0,747,392,CA3,8829.5,4555.3,3126.4
502,0,760,393,CA3,8804.7,4536.0,3085.0
509,0,768,381,CA3,8778.6,4651.4,3105.0
512,0,774,393,CA3,8804.7,4536.0,3085.0
539,0,824,393,CA3,8804.7,4536.0,3085.0
540,0,825,393,CA3,8804.7,4536.0,3085.0
541,0,827,396,CA3,8838.2,4516.8,3119.7
547,0,838,395,CA3,8818.7,4516.8,3094.4
550,0,841,389,CA3,8796.0,4574.5,3091.7
558,0,854,393,CA3,8804.7,4536.0,3085.0
564,0,861,397,CA3,8813.3,4497.6,3078.3
592,0,902,393,CA3,8804.7,4536.0,3085.0
594,0,906,390,CA3,8815.4,4574.5,3117.1
596,0,910,388,CA3,8820.8,4593.7,3133.1
597,0,911,395,CA3,8818.7,4516.8,3094.4
603,0,923,397,CA3,8813.3,4497.6,3078.3
612,0,939,393,CA3,8804.7,4536.0,3085.0
614,0,942,383,CA3,8792.7,4632.2,3114.4
615,0,943,408,CA3,8864.3,4401.4,3099.7
623,0,955,401,CA3,8822.0,4459.1,3071.6
624,0,956,380,CA3,8803.5,4670.7,3146.4
626,0,960,394,CA3,8824.1,4536.0,3110.4
640,0,981,401,CA3,8822.0,4459.1,3071.6
643,0,987,388,CA3,8820.8,4593.7,3133.1
646,0,992,388,CA3,8820.8,4593.7,3133.1
657,0,1008,388,CA3,8820.8,4593.7,3133.1
678,0,1029,399,CA3,8827.4,4478.3,3087.7
679,0,1030,384,CA3,8812.2,4632.2,3139.8
680,0,1031,376,CA3,8794.8,4709.1,3153.1
682,0,1033,392,CA3,8829.5,4555.3,3126.4
684,0,1035,392,CA3,8829.5,4555.3,3126.4
690,0,1041,401,CA3,8822.0,4459.1,3071.6
692,0,1043,393,CA3,8804.7,4536.0,3085.0
695,0,1046,397,CA3,8813.3,4497.6,3078.3
701,0,1052,396,CA3,8838.2,4516.8,3119.7
704,0,1055,389,CA3,8796.0,4574.5,3091.7
708,0,1059,381,CA3,8778.6,4651.4,3105.0
709,0,1060,408,CA3,8864.3,4401.4,3099.7
710,0,1061,393,CA3,8804.7,4536.0,3085.0
713,0,1064,397,CA3,8813.3,4497.6,3078.3
714,0,1065,397,CA3,8813.3,4497.6,3078.3
715,0,1066,395,CA3,8818.7,4516.8,3094.4
718,0,1069,393,CA3,8804.7,4536.0,3085.0
719,0,1070,392,CA3,8829.5,4555.3,3126.4
722,0,1073,395,CA3,8818.7,4516.8,3094.4
723,0,1074,394,CA3,8824.1,4536.0,3110.4
724,0,1075,387,CA3,8801.4,4593.7,3107.7
727,0,1078,399,CA3,8827.4,4478.3,3087.7
6440,6,4,296,CA3,6424.0,2043.9,4598.0
6444,6,9,295,CA3,6376.0,2062.7,4591.2
6446,6,12,296,CA3,6424.0,2043.9,4598.0
6448,6,15,282,CA3,6408.0,2175.4,4550.2
6449,6,17,291,CA3,6376.0,2100.2,4577.5
6450,6,18,294,CA3,6408.0,2062.7,4591.2
6452,6,22,304,CA3,6392.0,1968.7,4625.4
6453,6,24,296,CA3,6424.0,2043.9,4598.0
6454,6,27,289,CA3,6392.0,2119.0,4570.7
6459,6,33,319,CA3,6424.0,1818.3,4680.1
6461,6,36,276,CA3,6424.0,2231.8,4529.6
6463,6,38,296,CA3,6424.0,2043.9,4598.0
6464,6,40,293,CA3,6392.0,2081.4,4584.4
6467,6,45,284,CA3,6424.0,2156.6,4557.0
6477,6,60,280,CA3,6424.0,2194.2,4543.3
6484,6,72,297,CA3,6408.0,2025.1,4604.9
6485,6,74,291,CA3,6376.0,2100.2,4577.5
6486,6,76,302,CA3,6376.0,1987.5,4618.6
6487,6,77,293,CA3,6392.0,2081.4,4584.4
6488,6,78,304,CA3,6392.0,1968.7,4625.4
6489,6,80,289,CA3,6392.0,2119.0,4570.7
6490,6,81,305,CA3,6408.0,1949.9,4632.2
6493,6,86,305,CA3,6408.0,1949.9,4632.2
6494,6,87,305,CA3,6408.0,1949.9,4632.2
6495,6,91,322,CA3,6376.0,1799.5,4687.0
6501,6,102,291,CA3,6376.0,2100.2,4577.5
6506,6,109,301,CA3,6408.0,1987.5,4618.6
6511,6,117,280,CA3,6424.0,2194.2,4543.3
6512,6,119,298,CA3,6376.0,2025.1,4604.9
6518,6,132,292,CA3,6424.0,2081.4,4584.4
6519,6,134,300,CA3,6392.0,2006.3,4611.7
6521,6,136,301,CA3,6408.0,1987.5,4618.6
6522,6,137,271,CA3,6376.0,2288.2,4509.1
6526,6,141,296,CA3,6424.0,2043.9,4598.0
6527,6,142,299,CA3,6424.0,2006.3,4611.7
6528,6,143,298,CA3,6376.0,2025.1,4604.9
6530,6,145,295,CA3,6376.0,2062.7,4591.2
6531,6,146,300,CA3,6392.0,2006.3,4611.7
6532,6,147,291,CA3,6376.0,2100.2,4577.5
6536,6,152,299,CA3,6424.0,2006.3,4611.7
6537,6,154,309,CA3,6408.0,1912.3,4645.9
6538,6,155,269,CA3,6392.0,2307.0,4502.3
6539,6,157,294,CA3,6408.0,2062.7,4591.2
6542,6,162,287,CA3,6376.0,2137.8,4563.8
6545,6,170,324,CA3,6392.0,1780.7,4693.8
6547,6,173,287,CA3,6376.0,2137.8,4563.8
6552,6,178,300,CA3,6392.0,2006.3,4611.7
6559,6,186,280,CA3,6424.0,2194.2,4543.3
6560,6,187,271,CA3,6376.0,2288.2,4509.1
6561,6,188,307,CA3,6424.0,1931.1,4639.1
6562,6,189,298,CA3,6376.0,2025.1,4604.9
6565,6,193,302,CA3,6376.0,1987.5,4618.6
6566,6,194,280,CA3,6424.0,2194.2,4543.3
6569,6,197,294,CA3,6408.0,2062.7,4591.2
6571,6,205,293,CA3,6392.0,2081.4,4584.4
6576,6,216,316,CA3,6392.0,1855.9,4666.4
6583,6,228,298,CA3,6376.0,2025.1,4604.9
6585,6,230,296,CA3,6424.0,2043.9,4598.0
6586,6,231,299,CA3,6424.0,2006.3,4611.7
6592,6,242,302,CA3,6376.0,1987.5,4618.6
6594,6,249,305,CA3,6408.0,1949.9,4632.2
6595,6,250,276,CA3,6424.0,2231.8,4529.6
6601,6,256,282,CA3,6408.0,2175.4,4550.2
6603,6,259,294,CA3,6408.0,2062.7,4591.2
6604,6,260,300,CA3,6392.0,2006.3,4611.7
6606,6,264,276,CA3,6424.0,2231.8,4529.6
6610,6,271,319,CA3,6424.0,1818.3,4680.1
6611,6,272,287,CA3,6376.0,2137.8,4563.8
6613,6,275,271,CA3,6376.0,2288.2,4509.1
6614,6,276,293,CA3,6392.0,2081.4,4584.4
6617,6,282,295,CA3,6376.0,2062.7,4591.2
6620,6,287,295,CA3,6376.0,2062.7,4591.2
6621,6,288,297,CA3,6408.0,2025.1,4604.9
6623,6,290,276,CA3,6424.0,2231.8,4529.6
6628,6,297,276,CA3,6424.0,2231.8,4529.6
6633,6,303,294,CA3,6408.0,2062.7,4591.2
6634,6,304,283,CA3,6376.0,2175.4,4550.2
6635,6,305,294,CA3,6408.0,2062.7,4591.2
6637,6,307,293,CA3,6392.0,2081.4,4584.4
6638,6,308,297,CA3,6408.0,2025.1,4604.9
6647,6,323,287,CA3,6376.0,2137.8,4563.8
6648,6,327,300,CA3,6392.0,2006.3,4611.7
6650,6,329,305,CA3,6408.0,1949.9,4632.2
6651,6,331,271,CA3,6376.0,2288.2,4509.1
6654,6,338,272,CA3,6424.0,2269.4,4516.0
6655,6,340,290,CA3,6408.0,2100.2,4577.5
6656,6,342,294,CA3,6408.0,2062.7,4591.2
6657,6,344,276,CA3,6424.0,2231.8,4529.6
6659,6,348,294,CA3,6408.0,2062.7,4591.2
6660,6,349,305,CA3,6408.0,1949.9,4632.2
6661,6,350,298,CA3,6376.0,2025.1,4604.9
6662,6,351,305,CA3,6408.0,1949.9,4632.2
6664,6,353,324,CA3,6392.0,1780.7,4693.8
6668,6,363,305,CA3,6408.0,1949.9,4632.2
6669,6,366,272,CA3,6424.0,2269.4,4516.0
6670,6,368,287,CA3,6376.0,2137.8,4563.8
6671,6,369,296,CA3,6424.0,2043.9,4598.0
6672,6,377,316,CA3,6392.0,1855.9,4666.4
6673,6,378,305,CA3,6408.0,1949.9,4632.2
6674,6,381,300,CA3,6392.0,2006.3,4611.7
6675,6,385,294,CA3,6408.0,2062.7,4591.2
6676,6,388,305,CA3,6408.0,1949.9,4632.2
6679,6,391,307,CA3,6424.0,1931.1,4639.1
6680,6,394,299,CA3,6424.0,2006.3,4611.7
6684,6,404,298,CA3,6376.0,2025.1,4604.9
6702,6,429,294,CA3,6408.0,2062.7,4591.2
6710,6,448,291,CA3,6376.0,2100.2,4577.5
6714,6,454,309,CA3,6408.0,1912.3,4645.9
6715,6,455,292,CA3,6424.0,2081.4,4584.4
6717,6,457,292,CA3,6424.0,2081.4,4584.4
6719,6,460,288,CA3,6424.0,2119.0,4570.7
6725,6,467,305,CA3,6408.0,1949.9,4632.2
6729,6,475,280,CA3,6424.0,2194.2,4543.3
6731,6,477,307,CA3,6424.0,1931.1,4639.1
6732,6,479,284,CA3,6424.0,2156.6,4557.0
6736,6,486,294,CA3,6408.0,2062.7,4591.2
6739,6,491,301,CA3,6408.0,1987.5,4618.6
6740,6,492,280,CA3,6424.0,2194.2,4543.3
6743,6,498,271,CA3,6376.0,2288.2,4509.1
6744,6,500,271,CA3,6376.0,2288.2,4509.1
6745,6,503,276,CA3,6424.0,2231.8,4529.6
6751,6,516,295,CA3,6376.0,2062.7,4591.2
6755,6,526,269,CA3,6392.0,2307.0,4502.3
6765,6,539,285,CA3,6392.0,2156.6,4557.0
6770,6,547,288,CA3,6424.0,2119.0,4570.7
6775,6,553,298,CA3,6376.0,2025.1,4604.9
6782,6,560,295,CA3,6376.0,2062.7,4591.2
