,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
20311,23,8,28,CA2,8273.6,4189.3,2229.2
20318,23,16,24,CA2,8273.4,4229.3,2228.4
20319,23,17,89,CA2,8308.0,3549.5,2232.6
20324,23,22,51,CA2,8275.0,3949.4,2233.9
20326,23,25,129,CA2,8279.7,3149.5,2249.5
20327,23,26,34,CA2,8258.6,4129.3,2234.9
20328,23,28,113,CA2,8278.7,3309.5,2246.4
20333,23,33,148,CA2,8311.5,2949.6,2244.4
20338,23,38,89,CA2,8308.0,3549.5,2232.6
20340,23,40,121,CA2,8279.2,3229.5,2248.0
20357,23,59,113,CA2,8278.7,3309.5,2246.4
20358,23,60,105,CA2,8309.0,3389.5,2235.8
20360,23,62,54,CA2,8305.9,3909.4,2225.6
20362,23,64,122,CA2,8294.7,3209.5,2243.8
20365,23,67,113,CA2,8278.7,3309.5,2246.4
20371,23,74,54,CA2,8305.9,3909.4,2225.6
20377,23,81,34,CA2,8258.6,4129.3,2234.9
20378,23,82,80,CA2,8261.4,3649.4,2244.3
20379,23,83,129,CA2,8279.7,3149.5,2249.5
20395,23,100,128,CA2,8310.4,3149.5,2240.5
20396,23,101,89,CA2,8308.0,3549.5,2232.6
20397,23,102,83,CA2,8292.3,3609.4,2236.0
20398,23,103,89,CA2,8308.0,3549.5,2232.6
20400,23,105,122,CA2,8294.7,3209.5,2243.8
20405,23,111,66,CA2,8306.6,3789.4,2227.9
20408,23,115,55,CA2,8275.3,3909.4,2234.6
20410,23,117,37,CA2,8258.9,4089.3,2235.7
20411,23,119,34,CA2,8258.6,4129.3,2234.9
20418,23,126,132,CA2,8310.6,3109.6,2241.2
20421,23,130,131,CA2,8264.4,3129.5,2254.5
20423,23,132,113,CA2,8278.7,3309.5,2246.4
20438,23,150,105,CA2,8309.0,3389.5,2235.8
20445,23,160,89,CA2,8308.0,3549.5,2232.6
20448,23,163,121,CA2,8279.2,3229.5,2248.0
20458,23,173,37,CA2,8258.9,4089.3,2235.7
20465,23,180,105,CA2,8309.0,3389.5,2235.8
20467,23,182,113,CA2,8278.7,3309.5,2246.4
20474,23,190,113,CA2,8278.7,3309.5,2246.4
20480,23,196,147,CA2,8265.4,2969.6,2257.6
20484,23,202,149,CA2,8296.3,2929.6,2249.3
20487,23,206,113,CA2,8278.7,3309.5,2246.4
20490,23,209,56,CA2,8290.7,3889.4,2230.5
20497,23,216,24,CA2,8273.4,4229.3,2228.4
20499,23,218,128,CA2,8310.4,3149.5,2240.5
20505,23,225,118,CA2,8294.4,3249.5,2243.0
20516,23,237,113,CA2,8278.7,3309.5,2246.4
20522,23,243,129,CA2,8279.7,3149.5,2249.5
20523,23,244,89,CA2,8308.0,3549.5,2232.6
20532,23,254,57,CA2,8260.0,3889.4,2239.6
20535,23,258,113,CA2,8278.7,3309.5,2246.4
20537,23,260,89,CA2,8308.0,3549.5,2232.6
20539,23,262,118,CA2,8294.4,3249.5,2243.0
20541,23,264,121,CA2,8279.2,3229.5,2248.0
20542,23,265,89,CA2,8308.0,3549.5,2232.6
20547,23,271,34,CA2,8258.6,4129.3,2234.9
20548,23,272,101,CA2,8308.7,3429.5,2235.0
20557,23,283,131,CA2,8264.4,3129.5,2254.5
20559,23,285,111,CA2,8263.3,3329.5,2250.6
20565,23,291,34,CA2,8258.6,4129.3,2234.9
20570,23,297,25,CA2,8288.9,4209.3,2224.2
20575,23,303,53,CA2,8259.8,3929.4,2238.8
20577,23,305,101,CA2,8308.7,3429.5,2235.0
20580,23,308,105,CA2,8309.0,3389.5,2235.8
20583,23,314,89,CA2,8308.0,3549.5,2232.6
20587,23,318,32,CA2,8273.9,4149.3,2229.9
20590,23,321,121,CA2,8279.2,3229.5,2248.0
20600,23,333,113,CA2,8278.7,3309.5,2246.4
