,Session,Cluster,Peak Channel,Brain Region,A/P,D/V,L/R
322,0,510,254,ACA,4047.4,2148.8,5033.7
328,0,516,189,ACA,4143.4,2801.3,5005.8
339,0,527,248,ACA,4054.4,2208.1,5016.8
344,0,532,189,ACA,4143.4,2801.3,5005.8
350,0,538,223,ACA,4093.9,2445.4,5044.1
352,0,540,210,ACA,4116.6,2583.8,5057.4
355,0,543,239,ACA,4070.2,2287.2,5047.0
3362,3,1214,1015,ACA,4111.0,2213.9,5377.0
3363,3,1215,976,ACA,4184.2,2600.3,5450.2
3367,3,1219,984,ACA,4169.5,2523.0,5435.6
3372,3,1224,1043,ACA,4059.7,1943.4,5325.8
3373,3,1225,985,ACA,4131.9,2503.7,5465.9
3374,3,1226,1027,ACA,4089.0,2098.0,5355.1
3378,3,1230,1032,ACA,4044.1,2040.0,5378.0
3383,3,1236,1023,ACA,4096.3,2136.6,5362.4
3384,3,1237,992,ACA,4154.9,2445.7,5420.9
3385,3,1239,961,ACA,4213.5,2754.8,5479.5
3387,3,1241,987,ACA,4139.6,2484.3,5450.9
3388,3,1242,1020,ACA,4066.0,2155.9,5400.0
3389,3,1243,1028,ACA,4051.4,2078.7,5385.3
3391,3,1245,961,ACA,4213.5,2754.8,5479.5
3392,3,1246,1049,ACA,4022.5,1866.1,5333.8
3395,3,1249,1012,ACA,4080.7,2233.2,5414.6
3398,3,1252,1045,ACA,4029.8,1904.8,5341.1
3399,3,1253,989,ACA,4124.6,2465.0,5458.5
3400,3,1254,1050,ACA,4045.1,1866.1,5311.1
3401,3,1255,974,ACA,4176.5,2619.6,5465.2
3409,3,1263,969,ACA,4198.8,2677.5,5464.9
3411,3,1265,992,ACA,4154.9,2445.7,5420.9
3415,3,1269,1043,ACA,4059.7,1943.4,5325.8
3416,3,1270,965,ACA,4206.1,2716.2,5472.2
3422,3,1277,1015,ACA,4111.0,2213.9,5377.0
3423,3,1278,938,ACA,4219.8,2967.3,5553.7
3425,3,1280,984,ACA,4169.5,2523.0,5435.6
3427,3,1282,1048,ACA,4037.4,1885.5,5326.1
3429,3,1284,938,ACA,4219.8,2967.3,5553.7
3430,3,1285,1004,ACA,4132.9,2329.8,5399.0
3437,3,1292,970,ACA,4161.2,2658.2,5495.1
3444,3,1299,973,ACA,4153.9,2619.6,5487.8
3445,3,1300,993,ACA,4117.3,2426.4,5451.2
3446,3,1301,1035,ACA,4074.4,2020.7,5340.4
3449,3,1304,1008,ACA,4088.0,2271.8,5421.9
3451,3,1306,1058,ACA,4030.4,1788.9,5296.5
3453,3,1308,1018,ACA,4081.0,2175.2,5392.3
3455,3,1310,1050,ACA,4045.1,1866.1,5311.1
3456,3,1311,1016,ACA,4073.4,2194.6,5407.3
3459,3,1314,972,ACA,4191.5,2638.9,5457.5
3468,3,1323,989,ACA,4124.6,2465.0,5458.5
